# Genepanel: Mendeliom Version: 01 Date: 2018-08-09
#gene symbol	HGNC	phenotype	inheritance	omim_number	pmid	inheritance info	comment	Phenotype categories (multiple columns)
RPGRIP1	13436	Leber congenital amaurosis 6	AR	613826				arvegang fra tekst i OMIM
RPGRIP1L	29168	COACH syndrome	AR	216360				
RPGRIP1L	29168	Joubert syndrome 7	AR	611560				
RPGRIP1L	29168	Meckel syndrome 5	AR	611561				
RPIA	10297	?Ribose 5-phosphate isomerase deficiency	AR	608611				
RPL10	10298	Mental retardation, X-linked, syndromic, 35	X	300998				
RPL11	10301	Diamond-Blackfan anemia 7	AD	612562				
RPL15	10306	?Diamond-Blackfan anemia 12	AD	615550				
RPL21	10313	Hypotrichosis 12	AD	615885				
RPL26	10327	?Diamond-Blackfan anemia 11	AD	614900				
RPL27	10328	?Diamond-Blackfan anemia 16	AD	617408				
RPL35A	10345	Diamond-Blackfan anemia 5	AD	612528				
RPL5	10360	Diamond-Blackfan anemia 6	AD	612561				
RPS10	10383	Diamond-Blackfan anemia 9	AD	613308				
RPS17	10397	Diamond-Blackfan anemia 4	AD	612527				
RPS19	10402	Diamond-Blackfan anemia 1	AD	105650				
RPS23	10410	Brachycephaly, trichomegaly, and developmental delay	AD	617412				
RPS24	10411	Diamond-blackfan anemia 3	AD	610629				
RPS26	10414	Diamond-Blackfan anemia 10	AD	613309				
RPS27	10416	?Diamond-Blackfan anemia 17	AD	617409				
RPS28	10418	Diamond Blackfan anemia 15 with mandibulofacial dysostosis	AD	606164				
RPS29	10419	Diamond-Blackfan anemia 13	AD	615909				
RPS6KA3	10432	Coffin-Lowry syndrome	X	303600				
RPS6KA3	10432	Mental retardation, X-linked 19	X	300844				
RPS7	10440	Diamond-Blackfan anemia 8	AD	612563				
RPSA	6502	Asplenia, isolated congenital	AD	271400				
RRAS	10447	Atypical Noonan syndrome	AD		24705357	GUS	En artikkel, to pasienter	
RRM2B	17296	Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy)	AR	612075				
RRM2B	17296	Mitochondrial DNA depletion syndrome 8B (MNGIE type)	AR	612075				
RRM2B	17296	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 5	AD	613077				
RS1	10457	Retinoschisis	X	312700				
RSPH1	12371	Ciliary dyskinesia, primary, 24	AR	615481				
RSPH3	21054	Ciliary dyskinesia, primary, 32	AR	616481				
RSPH4A	21558	Ciliary dyskinesia, primary, 11	AR	612649			arvegang fra tekst i OMIM	
RSPH9	21057	Ciliary dyskinesia, primary, 12	AR	612650			arvegang fra tekst i OMIM	
RSPO1	21679	Palmoplantar hyperkeratosis and true hermaphroditism	AR	610644				
RSPO1	21679	Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and sex reversal	AR	610644				
RSPO4	16175	Anonychia congenita	AR	206800				
RSPRY1	29420	Spondyloepimetaphyseal dysplasia, Faden-Alkuraya type	AR	616723				
RTEL1	15888	Dyskeratosis congenita, autosomal dominant 4	AR;AD	615190				
RTEL1	15888	Dyskeratosis congenita, autosomal recessive 5	AR;AD	615190				
RTEL1	15888	Pulmonary fibrosis and/or bone marrow failure, telomere-related, 3	AD	616373				
RTN2	10468	Spastic paraplegia 12, autosomal dominant	AD	604805				
RTN4IP1	18647	Optic atrophy 10 with or without ataxia, mental retardation, and seizures	AR	616732				
RTTN	18654	Microcephaly, short stature, and polymicrogyria with seizures	AR	614833				
RUNX1	10471	Leukemia, acute myeloid	AD	601626				
RUNX1	10471	Platelet disorder, familial, with associated myeloid malignancy	AD	601399				
RUNX2	10472	Cleidocranial dysplasia	AD	119600				
RUNX2	10472	Cleidocranial dysplasia, forme fruste, dental anomalies only	AD	119600				
RUNX2	10472	Cleidocranial dysplasia, forme fruste, with brachydactyly	AD	119600				
RUNX2	10472	Metaphyseal dysplasia with maxillary hypoplasia with or without brachydactyly	AD	156510				
RUSC2	23625	Mental retardation, autosomal recessive 61	AR	617773				
RYR1	10483	Central core disease	AR;AD	117000				
RYR1	10483	King-Denborough syndrome	AD	145600				
RYR1	10483	Minicore myopathy with external ophthalmoplegia	AR	255320				
RYR1	10483	Neuromuscular disease, congenital, with uniform type 1 fiber	AR;AD	117000				
RYR2	10484	Arrhythmogenic right ventricular dysplasia 2	AD	600996				
RYR2	10484	Ventricular tachycardia, catecholaminergic polymorphic, 1	AD	604772				
RYR3	10485	Epileptisk encephalopati	AD		25262651	GUS	En artikkel, to pasienter.	
S1PR2	3169	Deafness, autosomal recessive 68	AR	610419				
SACS	10519	Spastic ataxia, Charlevoix-Saguenay type	AR	270550				
SAG	10521	Oguchi disease-1	AR	258100				
SAG	10521	Retinitis pigmentosa 47	AR	613758			arvegang fra tekst i OMIM	
SALL1	10524	Townes-Brocks branchiootorenal-like syndrome	AD	107480				
SALL1	10524	Townes-Brocks syndrome 1	AD	107480				
SALL2	10526	?Coloboma, ocular, autosomal recessive	AR	216820				
SALL4	15924	Duane-radial ray syndrome	AD	607323				
SALL4	15924	IVIC syndrome	AD	147750				
SAMD9	1348	MIRAGE syndrome	AD	617053				
SAMD9	1348	Tumoral calcinosis, familial, normophosphatemic	AR	610455				
SAMD9L	1349	Ataxia-pancytopenia syndrome	AD	159550				
SAMHD1	15925	?Chilblain lupus 2	AD	614415				
SAMHD1	15925	Aicardi-Goutieres syndrome 5	AR	612952				
SAR1B	10535	Chylomicron retention disease	AR	246700				
SARS	10537	?Neurodevelopmental disorder with microcephaly, ataxia, and seizures	AR	617709				
SARS2	17697	Hyperuricemia, pulmonary hypertension, renal failure, and alkalosis	AR	613845				
SASS6	25403	?Microcephaly 14, primary, autosomal recessive	AR	616402				
SATB2	21637	Glass syndrome	AD	612313				
SBDS	19440	Shwachman-Diamond syndrome	AR	260400				
SBF1	10542	Charcot-Marie-Tooth disease, type 4B3	AR	615284				
SBF2	2135	Charcot-Marie-Tooth disease, type 4B2	AR	604563				
SC5D	10547	LATHOSTEROLOSIS	AR		607330			
SCAPER	13081	intellectual disability	AR		21937992	GUS	Kandidatgen i en artikkel	
SCARB2	1665	Epilepsy, progressive myoclonic 4, with or without renal failure	AR	254900				
SCARF2	19869	Van den Ende-Gupta syndrome	AR	600920				
SCN10A	10582	Episodic pain syndrome, familial, 2	AD	615551				
SCN11A	10583	Episodic pain syndrome, familial, 3	AD	615552				
SCN11A	10583	Neuropathy, hereditary sensory and autonomic, type VII	AD	615548				
SCN1B	10586	Atrial fibrillation, familial, 13	AD	615377				
SCN1B	10586	Brugada syndrome 5	AD	612838			arvegang fra tekst i OMIM	
SCN1B	10586	Cardiac conduction defect, nonspecific	AD	612838			arvegang fra tekst i OMIM	
SCN1B	10586	Epilepsy, generalized, with febrile seizures plus, type 1	AD	604233				
SCN1B	10586	Epileptic encephalopathy, early infantile, 52	AR	617350				
SCN2A	10588	Seizures, benign familial infantile, 3	AD	607745				
SCN2A	10588	Epileptic encephalopathy, early infantile, 11	AD	613721				
SCN2B	10589	Atrial fibrillation, familial, 14	AD	615378				
SCN3B	20665	Atrial fibrillation, familial, 16	AD	613120				
SCN3B	20665	Brugada syndrome 7	AD	613120				
SCN4A	10591	Hyperkalemic periodic paralysis, type 2	AD	170500				
SCN4A	10591	Hypokalemic periodic paralysis, type 2	AD	613345				
SCN4A	10591	Myasthenic syndrome, congenital, 16	AR	614198				
SCN4A	10591	Myotonia congenita, atypical, acetazolamide-responsive	AD	608390				
SCN4A	10591	Paramyotonia congenita	AD	168300				
SCN4B	10592	Atrial fibrillation, familial, 17	AD	611819				
SCN4B	10592	Long QT syndrome-10	AD	611819				
SCN5A	10593	Atrial fibrillation, familial, 10	AD	614022				
SCN5A	10593	Brugada syndrome 1	AD	601144				
SCN5A	10593	Cardiomyopathy, dilated, 1E	AD	601154				
SCN5A	10593	Heart block, nonprogressive	AD	113900				
SCN5A	10593	Heart block, progressive, type IA	AD	113900				
SCN5A	10593	Long QT syndrome-3	AD	603830				
SCN5A	10593	Sick sinus syndrome 1	AR	608567				
SCN5A	10593	Ventricular fibrillation, familial, 1	AD	603829			arvegang fra tekst i OMIM	
SCN8A	10596	?Cognitive impairment with or without cerebellar ataxia	AD	614306				
SCN8A	10596	Epileptic encephalopathy, early infantile, 13	AD	614558				
SCN8A	10596	Seizures, benign familial infantile, 5	AD	617080				
SCN9A	10597	Epilepsy, generalized, with febrile seizures plus, type 7	AD	613863				
SCN9A	10597	Erythermalgia, primary	AD	133020				
SCN9A	10597	Febrile seizures, familial, 3B	AD	613863				
SCN9A	10597	HSAN2D, autosomal recessive	AR	243000				
SCN9A	10597	Insensitivity to pain, congenital	AR	243000				
SCN9A	10597	Paroxysmal extreme pain disorder,	AD	167400				
SCN9A	10597	Small fiber neuropathy	AD	133020				
SCNN1A	10599	Bronchiectasis with or without elevated sweat chloride 2	AD	613021				
SCNN1A	10599	Pseudohypoaldosteronism, type I	AR	264350				
SCNN1B	10600	Bronchiectasis with or without elevated sweat chloride 1	AD	211400				
SCNN1B	10600	Liddle syndrome	AD	177200				
SCNN1B	10600	Pseudohypoaldosteronism, type I	AR	264350				
SCNN1G	10602	Bronchiectasis with or without elevated sweat chloride 3	AD	613071				
SCNN1G	10602	Liddle syndrome	AD	177200				
SCNN1G	10602	Pseudohypoaldosteronism, type I	AR	264350				
SCO1	10603	Mitochondrial complex IV deficiency	AR	220110				
SCO2	10604	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 1	AR	604377				
SCO2	10604	Myopia 6	AD	608908				
SCP2	10606	?Leukoencephalopathy with dystonia and motor neuropathy	AR	613724				
SCRIB	30377	8Q24.3 DELETION-LIKE	AD			GUS	Low evidence	
SCYL1	14372	Spinocerebellar ataxia, autosomal recessive 21	AR	616719				
SDCCAG8	10671	Bardet-Biedl syndrome 16	AR	615993				
SDCCAG8	10671	Senior-Loken syndrome 7	AR	613615			arvegang fra tekst i OMIM	
SDHA	10680	Cardiomyopathy, dilated, 1GG	AR	613642			arvegang fra tekst i OMIM	
SDHA	10680	Leigh syndrome	AR	256000				
SDHA	10680	Mitochondrial respiratory chain complex II deficiency	AR	252011				
SDHA	10680	Paragangliomas 5	AD	614165				
SDHAF1	33867	Mitochondrial complex II deficiency	AR	252011				
SDHAF2	26034	Paragangliomas 2	AD	601650				
SDHB	10681	Cowden syndrome 2	AD	612359				
SDHB	10681	Paraganglioma and gastric stromal sarcoma		606864				
SDHB	10681	Paragangliomas 4	AD	115310				
SDHB	10681	Pheochromocytoma	AD	171300				
SDHC	10682	Paragangliomas 3	AD	605373				
SDHD	10683	Cowden syndrome 3	AD	615106			arvegang fra tekst i OMIM	
SDHD	10683	Mitochondrial complex II deficiency	AR	252011				
SDHD	10683	Paragangliomas 1, with or without deafness	AD	168000				
SDHD	10683	Pheochromocytoma	AD	171300				
SDR9C7	29958	Ichthyosis, congenital, autosomal recessive 13	AR	617574				
SEC23A	10701	Craniolenticulosutural dysplasia	AR	607812				
SEC23B	10702	Cowden syndrome 7	AD	616858				
SEC23B	10702	Dyserythropoietic anemia, congenital, type II	AR	224100				
SEC24D	10706	Cole-Carpenter syndrome 2	AR	616294				
SEC61A1	18276	Hyperuricemic nephropathy, familial juvenile, 4	AD	617056				
SEC63	21082	Polycystic liver disease 2	AD	617004				
SECISBP2	30972	Thyroid hormone metabolism, abnormal	AR	609698			arvegang fra tekst i OMIM	
SEMA3A	10723	{Hypogonadotropic hypogonadism 16 with or without anosmia}	AD	614897				
SEMA3E	10727	?CHARGE syndrome	AD	214800				
SEMA4A	10729	Cone-rod dystrophy 10	AR	610283				
SEMA4A	10729	Retinitis pigmentosa 35	AR;AD	610282				
SEPN1	15999	Muscular dystrophy, rigid spine, 1	AR	602771				
SEPN1	15999	Myopathy, congenital, with fiber-type disproportion	AR;AD	255310				
SEPSECS	30605	Pontocerebellar hypoplasia type 2D	AR	613811				
SERAC1	21061	3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome	AR	614739				
SERPINA1	8941	Emphysema due to AAT deficiency	AR	613490				
SERPINA1	8941	Emphysema-cirrhosis, due to AAT deficiency	AR	613490				
SERPINA1	8941	Hemorrhagic diathesis due to antithrombin Pittsburgh	AR	613490				
SERPINA6	1540	Corticosteroid-binding globulin deficiency	AR;AD	611489				
SERPINB6	8950	?Deafness, autosomal recessive 91	AR	613453				
SERPINB7	13902	Palmoplantar keratoderma, Nagashima type	AR	615598				
SERPINB8	8952	Peeling skin syndrome 5	AR	617115				
SERPINC1	775	Thrombophilia due to antithrombin III deficiency	AR;AD	613118				
SERPIND1	4838	Thrombophilia due to heparin cofactor II deficiency	AD	612356				
SERPINE1	8583	Plasminogen activator inhibitor-1 deficiency	AR;AD	613329				
SERPINF1	8824	Osteogenesis imperfecta, type VI	AR	613982				
SERPINF2	9075	Alpha-2-plasmin inhibitor deficiency	AR	262850				
SERPING1	1228	Angioedema, hereditary, types I and II	AR;AD	106100				
SERPING1	1228	Complement component 4, partial deficiency of	AD	120790				
SERPINH1	1546	Osteogenesis imperfecta, type X	AR	613848				
SERPINI1	8943	Encephalopathy, familial, with neuroserpin inclusion bodies	AD	604218				
SET	10760	intellectual disability	AD		28135719		Probable i panelapp	
SETBP1	15573	Mental retardation, autosomal dominant 29	AD	616078				
SETBP1	15573	Schinzel-Giedion midface retraction syndrome	AD	269150				
SETD1A	29010	intellectual disability, neuropsychiatric disorder	AD		26974950		Probable i panelapp	
SETD2	18420	Luscan-Lumish syndrome	AD	616831				
SETD5	25566	Mental retardation, autosomal dominant 23	AD	615761				
SETX	445	Amyotrophic lateral sclerosis 4, juvenile	AD	602433				
SETX	445	Spinocerebellar ataxia, autosomal recessive 1	AR	606002				
SF3B4	10771	Acrofacial dysostosis 1, Nager type	AD	154400				
SFRP4	10778	Pyle disease	AR	265900				
SFTPA1	10798	Familial Pulmonary Fibrosis 	AD		26792177	GUS	Low evidence i panelapp	
SFTPA2	10799	Pulmonary fibrosis, idiopathic	AD	178500				
SFTPC	10802	Surfactant metabolism dysfunction, pulmonary, 2	AD	610913				
SFXN4	16088	Combined oxidative phosphorylation deficiency 18	AR	615578				
SGCA	10805	Muscular dystrophy, limb-girdle, type 2D	AR	608099				
SGCB	10806	Muscular dystrophy, limb-girdle, type 2E	AR	604286				
SGCD	10807	Muscular dystrophy, limb-girdle, type 2F	AR	601287				
SGCE	10808	Dystonia-11, myoclonic	AD	159900				
SGCG	10809	Muscular dystrophy, limb-girdle, type 2C	AR	253700				
SGOL1	25088	Chronic atrial and intestinal dysrhythmia	AR	616201				
SGPL1	10817	Nephrotic syndrome 14	AR	617575				
SGSH	10818	Mucopolysaccharidosis type IIIA (Sanfilippo A)	AR	252900				
SH2D1A	10820	Lymphoproliferative syndrome, X-linked, 1	XR	308240				
SH3PXD2B	29242	Frank-ter Haar syndrome	AR	249420				
SH3TC2	29427	Charcot-Marie-Tooth disease, type 4C	AR	601596				
SH3TC2	29427	Mononeuropathy of the median nerve, mild	AD	613353				
SHANK1	15474	Autisme, intellectual disability	AD			GUS	Probable i panelapp	
SHANK3	14294	Phelan-McDermid syndrome	AD	606232				
SHH	10848	Holoprosencephaly 3	AD	142945				
SHH	10848	Microphthalmia with coloboma 5	AD	611638				
SHH	10848	Single median maxillary central incisor	AD	147250				
SHOC2	15454	Noonan-like syndrome with loose anagen hair	AD	607721				
SHOX	10853	Langer mesomelic dysplasia	AR	249700				
SHOX	10853	Leri-Weill dyschondrosteosis	AD	127300				
SHPK	1492	[Sedoheptulokinase deficiency]	AR	617213				
SHROOM3	30422	Neural tube defect 	AD		25805808	GUS		
SHROOM4	29215	Stocco dos Santos X-linked mental retardation syndrome	X	300434				
SI	10856	Sucrase-isomaltase deficiency, congenital	AR	222900				
SI	10856	Basal ganglia calcification, idiopathic, 5	AD	615483				
SI	10856	Meningioma, SIS-related	AD	607174				
SIGMAR1	8157	?Amyotrophic lateral sclerosis 16, juvenile	AR	614373				
SIGMAR1	8157	?Spinal muscular atrophy, distal, autosomal recessive, 2	AR	605726				
SIK1	11142	Epileptic encephalopathy, early infantile, 30	AD	616341				
SIL1	24624	Marinesco-Sjogren syndrome	AR	248800				
SIM1	10882	Obesity, severe	AR;AD	601665				
SIN3A	19353	Witteveen-Kolk syndrome	AD	613406				
SIPA1L3	23801	?Cataract 45	AR	616851				
SIX1	10887	Branchiootic syndrome 3	AD	608389				
SIX1	10887	Deafness, autosomal dominant 23	AD	605192				
SIX3	10889	Holoprosencephaly 2	AD	157170				
SIX5	10891	Branchiootorenal syndrome 2	AD	610896				
SIX6	10892	Optic disc anomalies with retinal and/or macular dystrophy	AR	212550				
SKI	10896	Shprintzen-Goldberg syndrome	AD	182212				
SKIV2L	10898	Trichohepatoenteric syndrome 2	AR	614602				
SLC10A2	10906	Bile acid malabsorption, primary	AR	613291				
SLC11A2	10908	Anemia, hypochromic microcytic, with iron overload 1	AR	206100				
SLC12A1	10910	Bartter syndrome, type 1	AR	601678				
SLC12A3	10912	Gitelman syndrome	AR	263800				
SLC12A5	13818	Epileptic encephalopathy, early infantile, 34	AR	616645				
SLC12A6	10914	Agenesis of the corpus callosum with peripheral neuropathy	AR	218000				
SLC13A5	23089	Epileptic encephalopathy, early infantile, 25	AR	615905				
SLC16A1	10922	Erythrocyte lactate transporter defect	AD	245340				
SLC16A1	10922	Hyperinsulinemic hypoglycemia, familial, 7	AD	610021				
SLC16A1	10922	Monocarboxylate transporter 1 deficiency	AR;AD	616095				
SLC16A12	23094	Cataract 47, juvenile, with microcornea	AD	612018				
SLC16A2	10923	Allan-Herndon-Dudley syndrome	X	300523				
SLC17A5	10933	Salla disease	AR	604369				
SLC17A5	10933	Sialic acid storage disorder, infantile	AR	269920				
SLC17A8	20151	Deafness, autosomal dominant 25	AD	605583				
SLC17A9	16192	Porokeratosis 8, disseminated superficial actinic type	AD	616063				
SLC18A3	10936	Myasthenic syndrome, congenital, 21, presynaptic	AR	617239				
SLC19A2	10938	Thiamine-responsive megaloblastic anemia syndrome	AR	249270				
SLC19A3	16266	Thiamine metabolism dysfunction syndrome 2 (biotin- or thiamine-responsive encephalopathy type 2)	AR	607483				
SLC1A1	10939	Dicarboxylic aminoaciduria	AR	222730				
SLC1A2	10940	Epileptic encephalopathy, early infantile, 41	AD	617105				
SLC1A3	10941	Episodic ataxia, type 6	AD	612656				
SLC1A4	10942	Spastic tetraplegia, thin corpus callosum, and progressive microcephaly	AR	616657				
SLC20A2	10947	Basal ganglia calcification, idiopathic, 1	AD	213600				
SLC22A12	17989	Hypouricemia, renal	AR	220150				
SLC22A5	10969	Carnitine deficiency, systemic primary	AR	212140				
SLC24A1	10975	Night blindness, congenital stationary (complete), 1D, autosomal recessive	AR	613830				
SLC24A4	10978	Amelogenesis imperfecta, type IIA5	AR	615887				
SLC24A5	20611	Albinism, oculocutaneous, type VI	AR	113750				
SLC25A1	10979	Combined D-2- and L-2-hydroxyglutaric aciduria	AR	615182				
SLC25A12	10982	Epileptic encephalopathy, early infantile, 39	AR	612949				
SLC25A13	10983	Citrullinemia, adult-onset type II	AR	603471				
SLC25A13	10983	Citrullinemia, type II, neonatal-onset	AR	605814				
SLC25A15	10985	Hyperornithinemia-hyperammonemia-homocitrullinemia syndrome	AR	238970				
SLC25A20	1421	Carnitine-acylcarnitine translocase deficiency	AR	212138				
SLC25A22	19954	Epileptic encephalopathy, early infantile, 3	AR	609304				
SLC25A24	20662	Fontaine progeroid syndrome	AD	612289				
SLC25A26	20661	Combined oxidative phosphorylation deficiency 28	AR	616794				
SLC25A3	10989	Mitochondrial phosphate carrier deficiency	AR	610773				
SLC25A32	29683	?Exercise intolerance, riboflavin-responsive	AR	616839				
SLC25A38	26054	Anemia, sideroblastic, 2, pyridoxine-refractory	AR	205950				
SLC25A4	10990	Mitochondrial DNA depletion syndrome 12A (cardiomyopathic type) AD	AD	617184				
SLC25A4	10990	Mitochondrial DNA depletion syndrome 12B (cardiomyopathic type) AR	AR	615418				
SLC25A4	10990	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 2	AD	609283				
SLC25A46	25198	Neuropathy, hereditary motor and sensory, type VIB	AR	616505				
SLC26A1	10993	?Nephrolithiasis, calcium oxalate	AR	167030				
SLC26A2	10994	Achondrogenesis Ib	AR	600972				
SLC26A2	10994	Atelosteogenesis, type II	AR	256050				
SLC26A2	10994	De la Chapelle dysplasia	AR	256050				
SLC26A2	10994	Diastrophic dysplasia	AR	222600				
SLC26A2	10994	Diastrophic dysplasia, broad bone-platyspondylic variant	AR	222600				
SLC26A2	10994	Epiphyseal dysplasia, multiple, 4	AR	226900				
SLC26A3	3018	Diarrhea 1, secretory chloride, congenital	AR	214700				
SLC26A4	8818	Deafness, autosomal recessive 4, with enlarged vestibular aqueduct	AR	600791				
SLC26A4	8818	Pendred syndrome	AR	274600				
SLC26A5	9359	?Deafness, autosomal recessive 61	AR	613865				
SLC26A8	14468	Spermatogenic failure 3	AD	606766				
SLC27A4	10998	Ichthyosis prematurity syndrome	AR	608649				
SLC29A3	23096	Histiocytosis-lymphadenopathy plus syndrome	AR	602782				
SLC2A1	11005	Dystonia 9	AD	601042				
SLC2A1	11005	GLUT1 deficiency syndrome 1, infantile onset, severe	AR;AD	606777				
SLC2A1	11005	GLUT1 deficiency syndrome 2, childhood onset	AD	612126				
SLC2A1	11005	Stomatin-deficient cryohydrocytosis with neurologic defects	AD	608885				
SLC2A10	13444	Arterial tortuosity syndrome	AR	208050				
SLC2A2	11006	Fanconi-Bickel syndrome	AR	227810				
SLC2A9	13446	Hypouricemia, renal, 2	AR;AD	612076				
SLC30A10	25355	Hypermanganesemia with dystonia 1	AR	613280				
SLC30A2	11013	Zinc deficiency, transient neonatal	AD	608118				
SLC30A9	1329	?Birk-Landau-Perez syndrome	AR	617595				
SLC31A1	11016	ID, lysosomal storage disease	AR		21937992	GUS	Kandidatgen i en artikkel	
SLC33A1	95	Congenital cataracts, hearing loss, and neurodegeneration	AR	614482				
SLC33A1	95	Spastic paraplegia 42, autosomal dominant	AD	612539				
SLC34A1	11019	?Fanconi renotubular syndrome 2	AR	613388				
SLC34A1	11019	Hypercalcemia, infantile, 2	AR	616963				
SLC34A1	11019	Nephrolithiasis/osteoporosis, hypophosphatemic, 1	AD	612286				
SLC34A2	11020	Pulmonary alveolar microlithiasis	AR	265100				
SLC34A3	20305	Hypophosphatemic rickets with hypercalciuria	AR	241530				
SLC35A1	11021	Congenital disorder of glycosylation, type IIf	AR	603585				
SLC35A2	11022	Congenital disorder of glycosylation, type IIm	XD	300896				
SLC35A3	11023	?Arthrogryposis, mental retardation, and seizures	AR	615553				
SLC35C1	20197	Congenital disorder of glycosylation, type IIc	AR	266265				
SLC35D1	20800	Schneckenbecken dysplasia	AR	269250				
SLC36A2	18762	Hyperglycinuria	AD	138500				
SLC36A2	18762	Iminoglycinuria, digenic	AR;DR	242600				
SLC37A4	4061	Glycogen storage disease Ib	AR	232220				
SLC37A4	4061	Glycogen storage disease Ic	AR	232240				
SLC38A8	32434	Foveal hypoplasia 2, with or without optic nerve misrouting and/or anterior segment dysgenesis	AR	609218				
SLC39A13	20859	Ehlers-Danlos syndrome, spondylodysplastic type, 3	AR	612350				
SLC39A14	20858	Hypermanganesemia with dystonia 2	AR	617013				
SLC39A4	17129	Acrodermatitis enteropathica	AR	201100				
SLC39A5	20502	Myopia 24, autosomal dominant	AD	615946				
SLC39A8	20862	Congenital disorder of glycosylation, type IIn	AR	616721				
SLC3A1	11025	Cystinuria	AR;AD	220100				
SLC40A1	10909	Hemochromatosis, type 4	AD	606069				
SLC41A1	19429	Nephronophthisis 	AR		23661805	GUS	1 familie	
SLC44A4	13941	?Deafness, autosomal dominant 72	AD	617606				
SLC45A1	17939	Intellectual developmental disorder with neuropsychiatric features	AR	617532				
SLC45A2	16472	Albinism, oculocutaneous, type IV	AR	606574				
SLC46A1	30521	Folate malabsorption, hereditary	AR	229050				
SLC4A1	11027	Cryohydrocytosis	AD	185020				
SLC4A1	11027	Ovalocytosis, SA type	AD	166900				
SLC4A1	11027	Renal tubular acidosis, distal, AD	AD	179800				
SLC4A1	11027	Renal tubular acidosis, distal, AR	AR	611590				
SLC4A1	11027	Spherocytosis, type 4	AD	612653				
SLC4A11	16438	Corneal dystrophy, Fuchs endothelial, 4	AR;AD	613268				
SLC4A11	16438	Corneal endothelial dystrophy and perceptive deafness	AR	217400				
SLC4A11	16438	Corneal endothelial dystrophy, autosomal recessive	AR	217700				
SLC4A4	11030	Renal tubular acidosis, proximal, with ocular abnormalities	AR	604278				
SLC52A1	30225	Riboflavin deficiency	AD	615026				
SLC52A3	16187	?Fazio-Londe disease	AR	211500				
SLC52A3	16187	Brown-Vialetto-Van Laere syndrome 1	AR	211530				
SLC5A1	11036	Glucose/galactose malabsorption	AR	606824				
SLC5A2	11037	Renal glucosuria	AR;AD	233100				
SLC5A5	11040	Thyroid dyshormonogenesis 1	AR	274400				
SLC5A7	14025	Myasthenic syndrome, congenital, 20, presynaptic	AR	617143				
SLC5A7	14025	Neuronopathy, distal hereditary motor, type VIIA	AD	158580				
SLC6A1	11042	Myoclonic-atonic epilepsy	AD	616421				
SLC6A17	31399	Mental retardation, autosomal recessive 48	AR	616269				
SLC6A19	27960	Hartnup disorder	AR	234500				
SLC6A19	27960	Hyperglycinuria	AD	138500				
SLC6A19	27960	Iminoglycinuria, digenic	AR;DR	242600				
SLC6A2	11048	Orthostatic intolerance	AD	604715				
SLC6A20	30927	Hyperglycinuria	AD	138500				
SLC6A20	30927	Iminoglycinuria, digenic	AR;DR	242600				
SLC6A3	11049	Parkinsonism-dystonia, infantile	AR	613135				
SLC6A5	11051	Hyperekplexia 3	AR;AD	614618				
SLC6A8	11055	Cerebral creatine deficiency syndrome 1	XR	300352				
SLC6A9	11056	Glycine encephalopathy with normal serum glycine	AR	617301				
SLC7A14	29326	Retinitis pigmentosa 68	AR	615725				
SLC7A7	11065	Lysinuric protein intolerance	AR	222700				
SLC7A9	11067	Cystinuria	AR;AD	220100				
SLC9A1	11071	?Lichtenstein-Knorr syndrome	AR	616291				
SLC9A3	11073	Diarrhea 8, secretory sodium, congenital	AR	616868				
SLC9A3R1	11075	Nephrolithiasis/osteoporosis, hypophosphatemic, 2	AD	612287				
SLCO1B3	10961	Hyperbilirubinemia, Rotor type, digenic	DR	237450				
SLCO2A1	10955	Hypertrophic osteoarthropathy, primary, autosomal recessive 2	AR	614441				
SLFN14	32689	Bleeding disorder, platelet-type, 20	AD	616913				
SLITRK1	20297	?Trichotillomania	AD	613229				
SLITRK1	20297	Tourette syndrome	AD	137580				
SLITRK6	23503	Deafness and myopia	AR	221200				
SLURP1	18746	Meleda disease	AR	248300				
SLX4	23845	Fanconi anemia, complementation group P	AR	613951				
SMAD2	6768	Arterial Aneurysms and dissections	AD		26247899		3 familier, ikke i v̴r bindevevspakke	
SMAD3	6769	Loeys-Dietz syndrome 3	AD	613795				
SMAD4	6770	Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome	AD	175050				
SMAD4	6770	Myhre syndrome	AD	139210				
SMAD4	6770	Polyposis, juvenile intestinal	AD	174900				
SMAD6	6772	Aortic valve disease 2	AD	614823				
SMAD9	6774	Pulmonary hypertension, primary, 2	AD	615342				
SMARCA2	11098	Nicolaides-Baraitser syndrome	AD	601358				
SMARCA4	11100	Coffin-Siris syndrome 4	AD	614609				
SMARCAD1	18398	Adermatoglyphia	AD	136000				
SMARCAD1	18398	Basan syndrome	AD	129200				
SMARCAL1	11102	Schimke immunoosseous dysplasia	AR	242900				
SMARCB1	11103	Coffin-Siris syndrome 3	AD	614608				
SMARCD2	11107	Specific granule deficiency 2	AR	617475				
SMARCE1	11109	Coffin-Siris syndrome 5	AD	616938				
SMC1A	11111	Cornelia de Lange syndrome 2	XD	300590				
